[
    "Napier|23|Zero|15|Initial XP awarded at the beginning of the Chronicle.",
    "Napier|23|Zero|1|Creating a relationship hook with Ava Wong, Jo's character.",
    "Napier|23|One|4|Session XP award.",
    "Napier|23|Zero|9|Completing character sheet by the Thursday deadline..",
    "Napier|23|Two|2|Three Troubled Thin-Bloods: Story completion award.",
    "Napier|23|Two|5|Excellent Loresheet for Netchurch.",
    "Napier|23|Two|2|Session XP award.",
    "Napier|23|Three|2|Session XP award.",
    "Napier|23|Three|1|Playing NPCs during Memoriam.",
    "Napier|23|Four|1|Session XP award (albeit smaller, given the short session).",
    "Napier|23|Five|2|Session XP award.",
    "Napier|23|Six|2|Session XP award.",
    "Napier|23|Six|1|Roleplaying an NPC in Ava's Memoriam",
    "Napier|23|Seven|2|Session XP award.",
    "Napier|23|Eight|3|Playing Alex the Lasombra during King's Memoriam, and playing him really, really, REALLY well.",
    "Napier|23|Eight|2|Session XP award.",
    "Napier|23|Nine|9|Refund for lost Herd (Patients) Background",
    "Napier|23|Nine|2|Session XP award.",
    "Napier|23|Twenty|2|Session XP award",
    "Napier|23|Twenty-One|2|Your unending patience!",
    "Napier|23|Nine|2|Scheer's Strike: Story completion award.",
    "Napier|23|Twenty-One|2|Session XP award",
    "Napier|23|Twenty-One|1|Excellent in-character ghoul play",
    "Napier|23|Ten|2|Session XP award.",
    "Napier|23|Twenty-Two|2|Refund for Haven Warding purchase",
    "Napier|23|Twenty-Two|1|RP: Little Character Moments",
    "Napier|23|Eleven|2|Session XP award.",
    "Napier|23|Twenty-Two|2|Session XP award",
    "Napier|23|Twelve|2|Brilliant montage idea",
    "Napier|23|Twenty-Three|2|Excellent RP and character development",
    "Napier|23|Twenty-Three|2|Session XP award.",
    "Napier|23|Twenty-Four|2|Session XP award.",
    "Napier|23|Twenty-Five|1|Awesome Compulsion RP",
    "Napier|23|Twenty-Five|2|Session XP award.",
    "Napier|23|Twelve|2|Session XP award.",
    "Napier|23|Thirteen|2|Session XP award",
    "Napier|23|Twenty-Six|2|Session XP award.",
    "Napier|23|Twenty-Seven|2|Session XP award.",
    "Napier|23|Thirteen|1|Engaging with the plot",
    "Napier|23|Twenty-Nine|1|Great RP as the baroness' lapdog",
    "Napier|23|Twenty-Nine|2|Session XP award.",
    "Napier|23|Fourteen|2|Session XP award",
    "Napier|23|Thirty|2|NPC Creation: Carlita",
    "Napier|23|Thirty|2|Session XP award.",
    "Napier|23|Fifteen|2|Session XP award",
    "Napier|23|Thirty-One|1|Playing Cardinal Collins",
    "Napier|23|Thirty-One|2|Session XP award.",
    "Napier|23|Fifteen|2|Being vampires!",
    "Napier|23|Thirty-Two|2|Session XP award.",
    "Napier|23|Thirty-Three|2|Session XP award.",
    "Napier|23|Sixteen|2|FOR OBFUSCATE ONLY",
    "Napier|23|Thirty-Four|2|Session XP award.",
    "Napier|23|Thirty-Five|2|Session XP award.",
    "Napier|23|Sixteen|2|Session XP award",
    "Napier|23|Thirty-Six|2|Session XP Award.",
    "Napier|23|Thirty-Six|-6|Resolving Flaw: Enemy.",
    "Napier|23|Seventeen|2|Session XP award",
    "Napier|23|Thirty-Six|18|Losing Allies: Bookies.",
    "Napier|23|Thirty-Seven|2|Session XP award.",
    "Napier|23|Seventeen|2|The Vultures Circle",
    "Napier|23|Thirty-Six|9|Loosing Herd: Bookies",
    "Napier|23|Eighteen|20|Award for 15 month time jump.",
    "Napier|23|Thirty-Eight|2|Session XP award.",
    "Napier|23|Thirty-Nine|2|Session XP award.",
    "Napier|23|Forty|2|RPing Drug Addiction",
    "Napier|23|Eighteen|2|Session XP award",
    "Napier|23|Forty|2|Session XP award.",
    "Napier|23|Forty-One|2|Session XP award.",
    "Napier|23|Nineteen|2|Session XP award",
    "Napier|23|Forty-Two|5|Session Scribe",
    "Napier|24|Zero|15|Initial XP awarded at the beginning of the Chronicle.",
    "Napier|24|Zero|1|Creating a relationship hook with Ava Wong, Jo's character.",
    "Napier|24|One|4|Session XP award.",
    "Napier|24|Zero|9|Completing character sheet by the Thursday deadline..",
    "Napier|24|Two|2|Three Troubled Thin-Bloods: Story completion award.",
    "Napier|24|Two|5|Excellent Loresheet for Netchurch.",
    "Napier|24|Two|2|Session XP award.",
    "Napier|24|Three|2|Session XP award.",
    "Napier|24|Three|1|Playing NPCs during Memoriam.",
    "Napier|24|Four|1|Session XP award (albeit smaller, given the short session).",
    "Napier|24|Five|2|Session XP award.",
    "Napier|24|Six|2|Session XP award.",
    "Napier|24|Six|1|Roleplaying an NPC in Ava's Memoriam",
    "Napier|24|Seven|2|Session XP award.",
    "Napier|24|Eight|3|Playing Alex the Lasombra during King's Memoriam, and playing him really, really, REALLY well.",
    "Napier|24|Eight|2|Session XP award.",
    "Napier|24|Nine|9|Refund for lost Herd (Patients) Background",
    "Napier|24|Nine|2|Session XP award.",
    "Napier|24|Nine|2|Scheer's Strike: Story completion award.",
    "Napier|24|Twenty-One|1|Excellent in-character ghoul play",
    "Napier|24|Ten|2|Session XP award.",
    "Napier|24|Twenty-Two|2|Refund for Haven Warding purchase",
